Event_Category_Code,Event_Family,Event_Category_Name,Ticker,Asset_Class,Sector,Peer_Group,Exposure_Class,Exposure_Score,Exposure_Reason,Crosswalk_Match,Matched_37A_Terms,Driver_Match,Example_Asset_Match,Matched_Event_Drivers,Matched_Asset_Drivers,Evidence,Mapper_Version
AG_EXPORTS,Agriculture,Agricultural Exports,CORN,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Demand | Exports,True,True,Export Restrictions | Export Sales | Import Demand,Ethanol Demand | Export Demand,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,DBA,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Demand,True,False,Export Restrictions | Export Sales | Import Demand,Agricultural Demand | Export Demand,37A-to-37B crosswalk | Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,WEAT,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Exports,True,True,Export Restrictions | Export Sales,Export Availability | Export Restrictions,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AG_WEATHER,Agriculture,Agricultural Weather,CORN,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | Weather,True,True,Growing Conditions,Harvest Conditions,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AG_WEATHER,Agriculture,Agricultural Weather,DBA,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | Weather,False,False,,,37A-to-37B crosswalk,1.2
AG_WEATHER,Agriculture,Agricultural Weather,PDBC,Commodities,Broad Commodities,Broad Commodities,Primary,100,Curated primary economic exposure,False,,False,True,,,37B example exposure,1.2
AG_WEATHER,Agriculture,Agricultural Weather,WEAT,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | Weather,True,True,Growing Conditions,Harvest Conditions | Planting Conditions,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,AIQ,Equities,Technology,AI & Automation,Primary,100,Curated primary economic exposure,True,AI Investment,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,BOTZ,Equities,Technology,AI & Automation,Primary,100,Curated primary economic exposure,True,AI Investment,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,DRAM,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,SMH,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,SOXX,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,SRVR,Equities,Real Estate,Digital Infrastructure,Primary,100,Curated primary economic exposure,False,,True,True,AI Infrastructure | Data Centers,AI Infrastructure Buildout | Data Center Demand | Data Center Leasing | Digital Infrastructure Investment,Economic-driver text match | 37B example exposure,1.2
AI_CAPEX,Technology,AI Capital Expenditure,IGV,Equities,Technology,Software,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
AI_CAPEX,Technology,AI Capital Expenditure,SKYY,Equities,Technology,Cloud & Software,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
AI_CAPEX,Technology,AI Capital Expenditure,XLK,Equities,Technology,Technology,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
BLACK_SEA_GRAINS,Agriculture,Black Sea Grain Supply,CORN,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,False,,True,True,Export Restrictions | Production,Export Demand | Global Corn Production,Economic-driver text match | 37B example exposure,1.2
BLACK_SEA_GRAINS,Agriculture,Black Sea Grain Supply,DBA,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,False,,True,False,Export Restrictions | Production,Export Demand | Global Crop Production,Economic-driver text match,1.2
BLACK_SEA_GRAINS,Agriculture,Black Sea Grain Supply,WEAT,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Black Sea,True,True,Export Restrictions | Production | Wheat Exports,Export Availability | Export Restrictions | Global Wheat Production | Wheat Supply | Wheat Yield,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CROP_PRODUCTION,Agriculture,Crop Production,CORN,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | USDA,True,True,Crop Conditions | Harvest | Production | Yield,Corn Yield | Global Corn Production | Harvest Conditions,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CROP_PRODUCTION,Agriculture,Crop Production,DBA,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | USDA,True,False,Crop Conditions | Production,Global Crop Production,37A-to-37B crosswalk | Economic-driver text match,1.2
CROP_PRODUCTION,Agriculture,Crop Production,PDBC,Commodities,Broad Commodities,Broad Commodities,Primary,100,Curated primary economic exposure,True,Commodity Supply,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
CROP_PRODUCTION,Agriculture,Crop Production,WEAT,Commodities,Agriculture,Agriculture Commodities,Primary,100,Curated primary economic exposure,True,Agriculture Supply | USDA,True,True,Crop Conditions | Harvest | Production | Yield,Global Wheat Production | Harvest Conditions | Planting Conditions | Wheat Yield,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,AMLP,Equities,Energy,Energy Infrastructure,Primary,100,Curated primary economic exposure,True,Inventories,False,False,,,37A-to-37B crosswalk,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,OIH,Equities,Energy,Oil & Gas Services,Primary,100,Curated primary economic exposure,True,Inventories,True,False,Cushing Inventories | EIA Crude Inventories,Crude Inventories,37A-to-37B crosswalk | Economic-driver text match,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,USO,Commodities,Energy,Energy Commodities,Primary,100,Curated primary economic exposure,True,Inventories,True,True,Cushing Inventories | EIA Crude Inventories,Crude Inventories,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,XLE,Equities,Energy,Energy,Primary,100,Curated primary economic exposure,True,Inventories,True,True,Cushing Inventories | EIA Crude Inventories,Crude Inventories,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,XOP,Equities,Energy,Oil & Gas E&P,Primary,100,Curated primary economic exposure,True,Inventories,True,True,Cushing Inventories | EIA Crude Inventories,Crude Inventories,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRUDE_INVENTORY,Energy,Crude Oil Inventories,PDBC,Commodities,Broad Commodities,Broad Commodities,Transmission,70,Defined financial transmission exposure,False,,False,False,,,,1.2
CRYPTO_ADOPTION,Digital Assets,Institutional Crypto Adoption,ETHE,Digital Assets,Crypto,Crypto Assets,Primary,100,Curated primary economic exposure,True,Institutional Adoption,True,True,Corporate Adoption | Institutional Adoption,Institutional Adoption,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRYPTO_ADOPTION,Digital Assets,Institutional Crypto Adoption,IBIT,Digital Assets,Crypto,Crypto Assets,Primary,100,Curated primary economic exposure,True,Institutional Adoption,True,True,Corporate Adoption | Institutional Adoption,Institutional Adoption,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRYPTO_FLOWS,Digital Assets,Crypto Fund Flows,ETHE,Digital Assets,Crypto,Crypto Assets,Primary,100,Curated primary economic exposure,True,Fund Flows,True,True,ETF Flows | Fund Flows | Institutional Allocation,ETF / Fund Flows | Ethereum Fund Flows | Institutional Adoption,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRYPTO_FLOWS,Digital Assets,Crypto Fund Flows,IBIT,Digital Assets,Crypto,Crypto Assets,Primary,100,Curated primary economic exposure,True,Fund Flows,True,True,ETF Flows | Fund Flows | Institutional Allocation,Bitcoin ETF Flows | ETF / Fund Flows | Institutional Adoption,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
CRYPTO_FLOWS,Digital Assets,Crypto Fund Flows,QQQ,Equities,Broad Market,Large Cap Growth,Transmission,70,Defined financial transmission exposure,False,,False,False,,,,1.2
