Event_Category_Code,Event_Family,Event_Category_Name,Ticker,Asset_Class,Sector,Peer_Group,Exposure_Class,Exposure_Score,Exposure_Reason,Crosswalk_Match,Matched_37A_Terms,Driver_Match,Example_Asset_Match,Matched_Event_Drivers,Matched_Asset_Drivers,Evidence,Mapper_Version
AEROSPACE_ORDERS,Industrials,Aerospace Orders,ITA,Equities,Industrials,Aerospace & Defense,Contextual,40,Multiple contextual evidence sources,True,Aerospace Orders,True,True,Aircraft Orders | Backlogs,Aerospace Orders | Aircraft Demand | Backlogs,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,XLI,Equities,Industrials,Industrials,Contextual,40,Multiple contextual evidence sources,False,,True,True,Aircraft Orders,Orders,Economic-driver text match | 37B example exposure,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,AIRR,Equities,Industrials,Industrial Reshoring,Contextual,20,Single contextual evidence source,False,,True,False,Aircraft Orders,Orders,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,AMLP,Equities,Energy,Energy Infrastructure,Contextual,20,Single contextual evidence source,False,,True,False,Production,Energy Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,CORN,Commodities,Agriculture,Agriculture Commodities,Contextual,20,Single contextual evidence source,False,,True,False,Production,Global Corn Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,DBA,Commodities,Agriculture,Agriculture Commodities,Contextual,20,Single contextual evidence source,False,,True,False,Production,Global Crop Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,OIH,Equities,Energy,Oil & Gas Services,Contextual,20,Single contextual evidence source,False,,True,False,Production,U.S. Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,PAVE,Equities,Industrials,Infrastructure,Contextual,20,Single contextual evidence source,False,,True,False,Aircraft Orders,Orders,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,UNG,Commodities,Energy,Energy Commodities,Contextual,20,Single contextual evidence source,False,,True,False,Production,Production | U.S. Gas Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,USO,Commodities,Energy,Energy Commodities,Contextual,20,Single contextual evidence source,False,,True,False,Production,U.S. Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,WEAT,Commodities,Agriculture,Agriculture Commodities,Contextual,20,Single contextual evidence source,False,,True,False,Production,Global Wheat Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,XLE,Equities,Energy,Energy,Contextual,20,Single contextual evidence source,False,,True,False,Production,U.S. Production,Economic-driver text match,1.2
AEROSPACE_ORDERS,Industrials,Aerospace Orders,XOP,Equities,Energy,Oil & Gas E&P,Contextual,20,Single contextual evidence source,False,,True,False,Production,E&P Production Economics | U.S. Oil Production,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,AIRR,Equities,Industrials,Industrial Reshoring,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Transportation Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,AMLP,Equities,Energy,Energy Infrastructure,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Energy Infrastructure Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,ARKG,Equities,Health Care,Biotech & Genomics,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Drug / Therapy Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,AWAY,Equities,Consumer Discretionary,Travel & Leisure,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,E-Commerce Demand | Travel Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,BATT,Equities,Materials,Energy Transition Materials,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,China Demand | Energy Transition Demand | Industrial Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,BETZ,Equities,Consumer Discretionary,Gaming & Betting,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,E-Commerce Demand | Travel Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,COPX,Equities,Materials,Metals & Mining,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,China Demand | Energy Transition Demand | Industrial Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,CPER,Commodities,Metals,Industrial Metals,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,China Demand | Energy Transition Demand | Industrial Metals Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,DRAM,Equities,Technology,Semiconductors,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,AI Infrastructure Demand | HBM Demand | PC Demand | Smartphone Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,ETHE,Digital Assets,Crypto,Crypto Assets,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Ethereum Spot Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,GLD,Commodities,Precious Metals,Precious Metals,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Central Bank Demand | Central Bank Gold Demand | Physical Demand | Safe-Haven Demand,Economic-driver text match,1.2
AG_EXPORTS,Agriculture,Agricultural Exports,IBB,Equities,Health Care,Biotechnology,Contextual,20,Single contextual evidence source,False,,True,False,Import Demand,Drug / Therapy Demand,Economic-driver text match,1.2
