Ticker,1W%,2W%,1M%,3M%,6M%,9M%,12M%
AIQ,0.02,0.14,-0.08,-8.79,26.36,25.94,41.5
AIRR,-5.68,-10.09,-13.36,-17.93,-9.86,9.04,17.13
AMLP,0.56,1.62,3.36,8.1,10.13,23.91,24.75
ARKG,-4.65,-1.22,15.85,39.0,59.78,57.96,90.12
AWAY,-4.14,-4.69,-3.58,10.88,14.66,-6.88,-11.52
BATT,-3.44,0.13,3.14,-11.43,-0.45,16.93,43.68
BETZ,-2.06,-1.39,-0.47,1.96,3.01,-5.65,-18.76
BOTZ,-1.23,-3.27,-5.12,-12.57,-5.18,0.31,6.19
CIBR,-0.13,-2.09,-4.49,2.13,45.04,29.2,30.02
COPX,-5.9,1.84,7.04,-0.05,2.32,42.34,84.09
CORN,0.95,7.78,13.92,15.74,13.66,12.9,14.11
CPER,-1.32,0.36,-1.52,0.28,9.9,22.42,38.75
DBA,2.38,3.46,5.82,8.97,12.06,15.35,10.48
DIA,-0.68,-0.6,-1.73,4.8,9.55,13.32,18.77
DRAM,-0.32,1.94,2.4,-19.37,,,
ETHE,-3.21,13.82,27.53,32.65,10.69,-13.79,-44.57
GLD,-4.4,-2.67,7.65,-1.25,-14.63,3.34,23.71
IAI,-2.12,0.34,0.96,6.85,10.87,10.83,12.29
IBB,-0.66,-1.46,12.44,27.66,23.71,25.93,52.66
IBIT,-1.51,12.92,20.34,18.35,5.67,-9.71,-30.46
IEF,-0.87,-0.93,-0.79,-0.92,-2.83,-1.79,0.29
IGV,1.01,0.59,1.39,3.23,20.77,-0.61,-3.57
ITA,-5.5,-9.25,-10.88,-0.61,-9.43,12.26,13.1
IWM,-1.65,-2.56,-2.55,2.45,12.79,20.6,27.0
KBE,-0.51,-1.11,-4.14,10.71,11.79,16.97,15.54
KBWD,-0.22,-1.12,1.11,5.07,0.7,0.08,0.19
KRE,-0.46,-1.01,-4.62,10.01,11.27,18.68,16.85
LITP,-0.28,5.81,14.04,-23.54,-8.1,6.01,63.96
OIH,7.83,4.27,11.33,1.24,13.92,51.58,74.36
ONLN,-2.54,-4.19,-6.67,4.12,4.33,-3.93,2.28
PAVE,-3.43,-4.4,-7.34,-5.09,0.18,14.14,18.69
PDBC,4.84,3.98,12.78,5.6,22.49,43.9,47.1
PEJ,-4.24,-4.17,-2.97,5.0,8.05,10.71,11.06
PPH,-0.31,-1.5,6.81,14.41,7.62,16.21,32.35
QQQ,-0.3,-0.96,-2.02,-4.59,16.4,15.34,26.0
REZ,-2.34,-1.41,-1.84,6.98,5.47,10.3,15.26
RSP,-1.58,-1.56,-0.74,4.87,8.62,16.32,18.75
SHY,-0.2,-0.21,0.02,0.49,0.44,1.31,2.35
SKYY,-0.35,-1.15,3.83,7.83,42.76,24.06,26.33
SLV,-4.09,-1.57,9.71,-10.78,-21.6,12.47,59.0
SLX,1.53,3.33,1.59,-1.78,15.09,38.11,60.23
SMH,-0.95,-1.86,-4.38,-13.7,37.93,56.45,92.75
SOXX,-2.71,-3.51,-7.52,-18.52,46.98,69.31,107.46
SPY,-0.12,-0.51,-0.8,1.71,12.27,13.41,20.83
SRVR,-4.32,-3.72,-4.35,-10.14,-6.66,8.61,1.54
TIP,-0.6,-0.6,-0.18,-0.98,-0.66,0.32,1.08
TLT,-1.24,-0.91,-0.67,-2.82,-5.93,-4.48,0.09
UNG,3.27,7.39,10.03,-8.2,-8.74,-29.32,-15.88
USO,10.84,7.82,21.91,0.21,54.16,98.63,83.88
UUP,0.54,1.04,0.04,1.11,2.77,3.31,5.74
VIXY,-3.08,-5.63,-15.5,-26.53,-39.43,-44.53,-52.46
VNQ,-2.87,-2.87,-3.17,2.35,2.22,9.15,9.68
VOO,-0.11,-0.5,-0.79,1.74,12.3,13.46,20.89
WEAT,3.22,9.94,16.76,22.89,27.86,34.33,32.04
XBI,-1.79,-2.47,8.88,27.5,30.94,38.57,78.86
XLB,-1.34,0.82,1.83,2.94,2.82,20.34,17.73
XLC,-0.17,0.99,0.34,0.56,-4.81,-1.23,2.37
XLE,4.28,2.39,11.24,11.68,17.45,45.77,48.32
XLF,-1.03,0.31,-0.38,13.74,12.93,10.35,9.26
XLI,-4.19,-5.04,-7.31,-0.49,-1.29,15.09,16.24
XLK,0.42,-0.02,-1.77,-6.32,31.61,28.74,42.08
XLP,-0.86,-1.17,0.19,4.82,-0.63,10.11,8.99
XLRE,-3.02,-2.8,-3.19,1.39,1.48,9.26,8.77
XLU,-1.93,-3.07,-3.26,-1.76,-8.52,-1.56,4.38
XLV,-0.34,-1.55,6.69,17.73,11.06,12.8,27.92
XLY,-1.96,-3.15,-2.9,-1.41,-0.92,-2.33,0.65
XOP,4.72,3.67,12.33,13.43,21.22,45.33,46.87
