Hierarchy_Level,Group_Name,Asset_Count,Pct_Leader_or_Emerging,Pct_Early_Entry_or_Building,Pct_New_Detection,Pct_Structural_Caution,Mean_Momentum_Score,Mean_Acceleration_Score,Mean_Trend_Score,Mean_Early_Rotation_Score,Hierarchy_Read
Asset Class,Commodities,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,59.90301020151766,65.00829187396351,65.55555555555556,66.96517412935323,▼ MIXED / CAUTION
Asset Class,Currencies,1,0.0,0.0,0.0,0.0,52.8392130257802,86.56716417910447,50.0,48.582089552238806,● MIXED
Asset Class,Digital Assets,2,0.5,1.0,0.0,0.0,69.72693351424695,61.940298507462686,100.0,83.50746268656717,▲ BROAD STRENGTH
Asset Class,Equities,50,0.18,0.26,0.16,0.22,49.67723995975596,44.17910447761194,50.6,42.72865671641791,● MIXED
Asset Class,Fixed Income,4,0.0,0.0,0.0,0.75,39.38969923111714,75.0,7.5,42.727611940298516,▼ BROAD STRUCTURAL PRESSURE
Asset Class,Volatility,1,0.0,0.0,0.0,1.0,20.007914970601536,95.52238805970148,0.0,35.373134328358205,▼ BROAD STRUCTURAL PRESSURE
Sector,Agriculture,3,0.6666666666666666,0.6666666666666666,0.0,0.0,70.85858585858585,65.67164179104478,95.0,76.35074626865672,▲ BROAD STRENGTH
Sector,Broad Commodities,1,1.0,1.0,0.0,0.0,86.59995477159656,97.01492537313432,100.0,96.26865671641792,▲ BROAD STRENGTH
Sector,Broad Market,6,0.0,0.16666666666666666,0.16666666666666666,0.0,57.229194934418814,49.00497512437811,59.166666666666664,40.40298507462686,● MIXED
Sector,Communication Services,1,1.0,1.0,1.0,0.0,52.93758480325645,89.55223880597015,70.0,87.91044776119404,▲ BROAD STRENGTH
Sector,Consumer Discretionary,5,0.2,0.2,0.2,0.6,32.61058344640435,33.43283582089553,26.0,27.546268656716414,▼ BROAD STRUCTURAL PRESSURE
Sector,Consumer Staples,1,0.0,0.0,0.0,0.0,37.39371325192221,59.70149253731343,30.0,27.761194029850746,● MIXED
Sector,Crypto,2,0.5,1.0,0.0,0.0,69.72693351424695,61.940298507462686,100.0,83.50746268656717,▲ BROAD STRENGTH
Sector,Energy,6,0.8333333333333334,0.6666666666666666,0.0,0.16666666666666666,72.64397708427559,88.05970149253731,85.83333333333333,85.3681592039801,▲ BROAD STRENGTH
Sector,Equity Volatility,1,0.0,0.0,0.0,1.0,20.007914970601536,95.52238805970148,0.0,35.373134328358205,▼ BROAD STRUCTURAL PRESSURE
Sector,Financials,5,0.0,0.0,0.0,0.2,52.89009497964722,38.507462686567166,48.0,30.49253731343283,● MIXED
Sector,Health Care,5,0.0,0.0,0.0,0.0,61.37403889642695,10.746268656716415,61.0,30.46119402985074,● MIXED
Sector,Industrials,4,0.0,0.0,0.0,0.5,26.943973315241973,36.19402985074627,15.0,18.88059701492537,▼ BROAD STRUCTURAL PRESSURE
Sector,Materials,5,0.0,0.2,0.2,0.4,39.98665762098598,23.88059701492537,44.0,39.582089552238806,▼ MIXED / CAUTION
Sector,Metals,1,0.0,0.0,0.0,0.0,52.859565807327,49.25373134328358,50.0,43.31343283582089,● MIXED
Sector,Precious Metals,2,0.0,0.0,0.0,1.0,32.91666666666667,32.83582089552239,20.0,39.149253731343286,▼ BROAD STRUCTURAL PRESSURE
Sector,Real Estate,4,0.0,0.0,0.0,0.25,37.07004748982361,52.98507462686567,22.5,28.567164179104473,● MIXED
Sector,Technology,9,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.1111111111111111,58.35509950248756,50.082918739635154,70.0,62.17744610281924,▲ BROAD NEW DETECTION
Sector,Treasuries,4,0.0,0.0,0.0,0.75,39.38969923111714,75.0,7.5,42.727611940298516,▼ BROAD STRUCTURAL PRESSURE
Sector,U.S. Dollar,1,0.0,0.0,0.0,0.0,52.8392130257802,86.56716417910447,50.0,48.582089552238806,● MIXED
Sector,Utilities,1,0.0,0.0,0.0,1.0,28.669154228855724,73.13432835820896,0.0,32.08955223880597,▼ BROAD STRUCTURAL PRESSURE
