Ticker,Decision_Support_State,Decision_Priority,Detection_State,Signal_Window,Price_EMA20_Last_Cross,Price_EMA20_Last_Cross_Date,Days_Since_Price_EMA20_Cross,ML_Signal_Date,ML_Quality,ML_Percentile_Display,ML_Daily_PctRank,ML_Early_Leader_Probability,Early_Rotation_State,Early_Rotation_Score,Early_Rotation_Rank,Rotation_State,Rotation_Readiness_Score,Rotation_Readiness_Rank,Confirmation_State,Momentum_Score,Momentum_Rank,Acceleration_Score,Acceleration_Rank,Trend_Score,Price,EMA20,MA30,MA50,MA100,MA200,Above_EMA20,Above_MA30,Above_MA50,Above_MA100,Above_MA200,Distance_To_EMA20,Distance_To_MA50,Distance_To_MA200,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Structure_State,Structure_History_Status,Initial_Risk_Reference,Long_Term_Structural_Reference,Earned_Protection_Status,Earned_Protection_Framework,Return_1W,Return_1M,Return_3M,Research_Note,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,EMA20_Zone,EMA20_Above_MA30
WEAT,▲ NEW DETECTION,3,▲ DAY 0 DETECTION,DAY 0 — DETECTION,CROSS ABOVE,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,BUILDING,74.70149253731343,12,LEADER,72.69063772048847,12.0,▲ CONFIRMED LEADER,77.12347354138399,8.0,43.28358208955223,39,100.0,26.71,26.333,25.533,24.993,24.206,22.789,True,True,True,True,True,0.014316636919454728,0.06869923578602011,0.17205669401904422,0.895,1.198,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-4.13,12.65,18.5,Confirmed leadership already present,0.014,0.046,0.069,0.103,0.172,NEAR EMA20,True
VIXY,▲ NEW DETECTION,3,▲ DAY 0 DETECTION,DAY 0 — DETECTION,CROSS ABOVE,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,51.992537313432834,23,LAGGING,42.99983039348711,37.0,▼ DETERIORATING,22.545228403437363,61.0,97.01492537313432,3,15.0,18.16,18.055,18.58,19.58,22.402,25.735,True,False,False,False,False,0.005815563555801706,-0.07252298263534207,-0.2943462210996697,-2.114,-3.697,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,5.09,-5.91,-29.28,Below wider MA200 structural reference,0.006,-0.023,-0.073,-0.189,-0.294,NEAR EMA20,False
DRAM,▲ EARLY WATCH,4,▲ FRESH EMA20 CROSS,DAY 5 — LATE EARLY WINDOW,CROSS ABOVE,2026-09-02,5,2026-09-04,★★ ELITE,100th percentile,1.0,0.6485486471767851,EARLY ENTRY,96.56716417910448,3,WATCH,,,▲ EARLY CONFIRMATION,,,95.52238805970148,4,100.0,58.56,57.229,55.487,56.262,56.321,,True,True,True,True,,0.023257439410089287,0.04084461981443965,,2.657,2.485,▲ POSITIVE AVAILABLE STRUCTURE,MA200 NOT YET AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,4.18,15.07,2.07,Current walk-forward RF candidate ranking available | MA200 unavailable because current price history is insufficient for that measure | All currently available meaningful moving-average structure is positive,0.023,0.055,0.041,0.04,,NEAR EMA20,True
XLK,● ESTABLISHED LEADER,5,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,2026-09-04,★ VERY HIGH,92nd percentile,0.9230769230769232,0.5493451655368173,EARLY WATCH,72.85820895522389,14,LEADER,78.5206919945726,10.0,▲ CONFIRMED LEADER,78.5119855269109,5.0,73.13432835820896,19,85.0,185.22,185.262,185.005,182.686,179.971,160.856,False,True,True,True,True,-0.0002267059623668466,0.013870794696911659,0.1514646640473467,0.547,1.239,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.88,-0.47,4.99,Current walk-forward RF candidate ranking available | Confirmed leadership already present,-0.0,0.001,0.014,0.029,0.151,NEAR EMA20,True
USO,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,EXTENDED,98.95522388059702,1,LEADER,98.5854816824966,1.0,▲ CONFIRMED LEADER,96.85662596110356,1.0,100.0,1,100.0,158.38,137.723,131.316,126.586,129.214,108.695,True,True,True,True,True,0.14998947162057163,0.25116521574265716,0.4571047426284558,5.36,2.277,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,12.21,24.11,17.93,Confirmed leadership already present,0.15,0.206,0.251,0.226,0.457,NEAR EMA20,True
PDBC,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-06,24,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,95.7462686567164,4,LEADER,95.12601763907732,2.0,▲ CONFIRMED LEADER,90.16395296246044,2.0,98.50746268656717,2,100.0,20.05,18.737,18.248,17.743,17.69,16.267,True,True,True,True,True,0.07007525217484134,0.13002310770444692,0.23255670990348576,2.575,1.685,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,5.19,11.95,15.03,Confirmed leadership already present,0.07,0.099,0.13,0.133,0.233,NEAR EMA20,True
XOP,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-10,22,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,93.73134328358208,5,LEADER,93.34616689280868,3.0,▲ CONFIRMED LEADER,89.19380370872908,3.0,94.02985074626866,5,100.0,195.47,187.636,182.96,175.974,170.925,158.538,True,True,True,True,True,0.04175104990513545,0.11078909384340885,0.23295361364467815,2.143,2.049,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.2,9.59,16.93,Confirmed leadership already present,0.042,0.068,0.111,0.144,0.233,NEAR EMA20,True
XLE,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-10,22,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,89.40298507462686,7,LEADER,89.26950474898237,4.0,▲ CONFIRMED LEADER,82.12460425146993,4.0,91.04477611940298,7,100.0,64.93,63.277,62.041,59.893,58.311,54.689,True,True,True,True,True,0.02612323593090715,0.08409997829462545,0.18725886375687995,1.562,1.644,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.26,6.56,12.27,Confirmed leadership already present,0.026,0.047,0.084,0.114,0.187,NEAR EMA20,True
ETHE,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-07-06,47,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,97.1641791044776,2,LEADER,87.93283582089552,5.0,▲ CONFIRMED LEADER,78.1592039800995,6.0,92.53731343283582,6,100.0,19.79,18.769,17.523,16.422,16.319,18.424,True,True,True,True,True,0.05439820981405519,0.20509073194495175,0.07414242292661744,4.071,4.624,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,2.84,30.8,50.8,Confirmed leadership already present,0.054,0.129,0.205,0.213,0.074,NEAR EMA20,True
DBA,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-14,18,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,87.53731343283583,8,LEADER,85.68690637720488,6.0,▲ CONFIRMED LEADER,75.15829941203076,10.0,89.55223880597015,8,100.0,29.32,28.736,28.319,28.079,27.704,26.872,True,True,True,True,True,0.020322939866369794,0.04419673065280105,0.0910985412325096,0.809,0.706,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.17,6.27,11.36,Confirmed leadership already present,0.02,0.035,0.044,0.058,0.091,NEAR EMA20,True
CORN,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-12,20,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,87.20149253731343,9,LEADER,83.59820217096336,7.0,▲ CONFIRMED LEADER,72.5067842605156,11.0,86.56716417910447,10,100.0,20.01,19.489,18.874,18.401,18.136,17.989,True,True,True,True,True,0.026733028888090704,0.08744089995108961,0.11234643393184718,1.731,1.728,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.04,13.89,17.22,Confirmed leadership already present,0.027,0.06,0.087,0.103,0.112,NEAR EMA20,True
AMLP,● ESTABLISHED LEADER,5,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-07-02,48,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,84.70149253731344,10,LEADER,83.53663500678427,8.0,▲ CONFIRMED LEADER,75.35504296698326,9.0,82.08955223880598,13,100.0,55.75,55.26,54.854,53.984,52.636,50.173,True,True,True,True,True,0.008867173362287373,0.032713396561944164,0.11115540230801413,0.676,0.634,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.07,2.63,7.65,Confirmed leadership already present,0.009,0.016,0.033,0.059,0.111,NEAR EMA20,True
AIQ,● ESTABLISHED LEADER,5,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,71.14179104477611,15,LEADER,72.62601763907735,13.0,▲ CONFIRMED LEADER,72.37788331071914,12.0,62.68656716417911,26,85.0,63.08,63.415,63.067,62.095,62.031,56.157,False,True,True,True,True,-0.005282661830797175,0.015862790884934475,0.12327937745962214,0.573,1.682,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.0,-0.19,2.8,Confirmed leadership already present,-0.005,0.0,0.016,0.017,0.123,NEAR EMA20,True
