Ticker,Price,Return_1W,Return_2W,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M,Momentum_Score,Momentum_Rank,Acceleration_Raw,Acceleration_Score,Acceleration_Rank,Trend_Score,Trend_Structure,Rotation_Readiness_Score,Rotation_Readiness_Rank,Rotation_State,EMA20,MA30,MA50,MA100,MA200,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,AboveEMA20,Above30,Above50,Above100,Above200,Major_MAs_Above
USO,154.350006,9.35,21.2,20.95,14.93,42.85,118.97,110.31,95.06558118498417,1,7.475333333333333,100.0,1,100.0,Strong Uptrend,97.77951153324287,1,LEADER,137.339488,131.181667,126.5054,129.1733,108.67525,0.123857,0.176613,0.220106,0.194906,0.420287,Yes,True,True,True,True,4
XOP,196.550003,1.76,6.55,10.19,17.57,20.41,48.93,55.87,90.68634102216191,2,1.7018333333333333,94.02985074626866,5,100.0,Strong Uptrend,94.01780868385346,2,LEADER,187.739051,182.996334,175.996001,170.936129,158.543528,0.046932,0.074065,0.116787,0.149845,0.239723,Yes,True,True,True,True,4
PDBC,19.780001,3.78,8.8,10.44,13.48,18.02,49.77,55.08,88.58887381275443,3,3.030666666666667,97.01492537313433,3,100.0,Strong Uptrend,93.9694708276798,3,LEADER,18.711019,18.239,17.738,17.6873,16.26591,0.057131,0.084489,0.11512,0.118317,0.21604,Yes,True,True,True,True,4
XLE,65.675003,0.88,5.2,7.79,13.56,16.85,47.84,54.65,85.58457711442789,4,1.1658333333333333,92.53731343283582,6,100.0,Strong Uptrend,91.2742537313433,4,LEADER,63.347728,62.0655,59.9075,58.318061,54.692656,0.036738,0.058156,0.096273,0.126152,0.200801,Yes,True,True,True,True,4
AMLP,56.110001,0.57,1.14,3.3,8.35,11.21,24.78,27.49,76.5513342379014,5,0.1081666666666666,86.56716417910447,10,100.0,Strong Uptrend,85.41824966078697,5,LEADER,55.29386,54.866301,53.991622,52.639832,50.174664,0.01476,0.022668,0.039235,0.065923,0.118293,Yes,True,True,True,True,4
ETHE,19.450001,1.07,-2.18,28.56,48.21,15.97,-23.42,-44.29,73.57982813206695,8,-0.1318333333333337,83.5820895522388,12,100.0,Strong Uptrend,83.18554952510178,6,LEADER,18.736516,17.511923,16.415673,16.315457,18.422491,0.03808,0.110672,0.184843,0.192121,0.055775,Yes,True,True,True,True,4
DBA,29.0208,-0.85,1.51,5.19,10.22,8.69,13.89,10.95,70.7293080054274,12,-0.07799999999999985,85.07462686567165,11,100.0,Strong Uptrend,82.35057666214382,7,LEADER,28.707242,28.309027,28.073016,27.701108,26.870674,0.010923,0.025143,0.033761,0.04764,0.080018,Yes,True,True,True,True,4
OIH,427.0,-2.19,5.46,2.82,0.96,10.9,43.84,71.02,64.56241519674356,21,0.4696666666666667,91.04477611940298,7,100.0,Strong Uptrend,81.36651967435549,8,EMERGING,419.39715,411.890997,397.766198,410.053799,379.811884,0.018128,0.036682,0.073495,0.041327,0.124241,Yes,True,True,True,True,4
IBIT,43.509998,-0.64,-2.14,21.06,24.03,8.58,-15.55,-31.18,66.57960199004977,19,-0.36050000000000026,77.61194029850746,16,100.0,Strong Uptrend,78.24440298507463,9,EMERGING,42.610096,40.339,38.6748,39.6471,42.282675,0.021119,0.078609,0.125022,0.097432,0.029027,Yes,True,True,True,True,4
CORN,19.895,-1.61,-0.67,13.23,16.55,7.42,11.52,13.17,68.3118498417006,16,-0.5121666666666664,74.6268656716418,18,100.0,Strong Uptrend,78.12839213025781,10,EMERGING,19.477802,18.8705,18.3985,18.13475,17.988225,0.021419,0.054291,0.081338,0.097065,0.106001,Yes,True,True,True,True,4
