Date,Ticker,Price,EMA20,MA30,MA50,MA100,MA200,AboveEMA20,Pct_Above_EMA20,Above30,Pct_Above_30,Above50,Pct_Above_50,Above100,Pct_Above_100,Above200,Pct_Above_200
2025-02-26,AIQ,40.009823,,,,,,,,,,,,,,,
2025-02-27,AIQ,38.852142,,,,,,,,,,,,,,,
2025-02-28,AIQ,38.991863,,,,,,,,,,,,,,,
2025-03-03,AIQ,38.183479,,,,,,,,,,,,,,,
2025-03-04,AIQ,38.213421,,,,,,,,,,,,,,,
2025-03-05,AIQ,39.161526,,,,,,,,,,,,,,,
2025-03-06,AIQ,37.9739,,,,,,,,,,,,,,,
2025-03-07,AIQ,38.373104,,,,,,,,,,,,,,,
2025-03-10,AIQ,36.536785,,,,,,,,,,,,,,,
2025-03-11,AIQ,36.766323,,,,,,,,,,,,,,,
2025-03-12,AIQ,37.385078,,,,,,,,,,,,,,,
2025-03-13,AIQ,36.556744,,,,,,,,,,,,,,,
2025-03-14,AIQ,37.624603,,,,,,,,,,,,,,,
2025-03-17,AIQ,38.2234,,,,,,,,,,,,,,,
2025-03-18,AIQ,37.614624,,,,,,,,,,,,,,,
2025-03-19,AIQ,38.073704,,,,,,,,,,,,,,,
2025-03-20,AIQ,37.674503,,,,,,,,,,,,,,,
2025-03-21,AIQ,37.76432,,,,,,,,,,,,,,,
2025-03-24,AIQ,38.5228,,,,,,,,,,,,,,,
2025-03-25,AIQ,38.612621,38.239467,,,,,Yes,0.009758,,,,,,,,
2025-03-26,AIQ,37.844162,38.201819,,,,,No,-0.009362,,,,,,,,
2025-03-27,AIQ,37.544762,38.139242,,,,,No,-0.015587,,,,,,,,
2025-03-28,AIQ,36.466923,37.979974,,,,,No,-0.039838,,,,,,,,
2025-03-31,AIQ,36.307243,37.820666,,,,,No,-0.040016,,,,,,,,
2025-04-01,AIQ,36.646564,37.708847,,,,,No,-0.028171,,,,,,,,
2025-04-02,AIQ,36.916023,37.63334,,,,,No,-0.019061,,,,,,,,
2025-04-03,AIQ,34.760342,37.359721,,,,,No,-0.069577,,,,,,,,
2025-04-04,AIQ,32.335201,36.881195,,,,,No,-0.12326,,,,,,,,
2025-04-07,AIQ,32.105659,36.426382,,,,,No,-0.118615,,,,,,,,
2025-04-08,AIQ,31.437,35.951203,37.115955,,,,No,-0.125565,No,-0.153006,,,,,,
2025-04-09,AIQ,35.269321,35.886262,36.957938,,,,No,-0.017192,No,-0.04569,,,,,,
2025-04-10,AIQ,33.742386,35.682083,36.787613,,,,No,-0.054361,No,-0.082779,,,,,,
2025-04-11,AIQ,34.381104,35.558181,36.633921,,,,No,-0.033103,No,-0.061495,,,,,,
2025-04-14,AIQ,34.660542,35.472691,36.51649,,,,No,-0.022895,No,-0.050825,,,,,,
2025-04-15,AIQ,34.790283,35.4077,36.402385,,,,No,-0.017437,No,-0.044286,,,,,,
2025-04-16,AIQ,33.832203,35.257653,36.224741,,,,No,-0.04043,No,-0.066047,,,,,,
2025-04-17,AIQ,33.832203,35.121895,36.086684,,,,No,-0.03672,No,-0.062474,,,,,,
2025-04-21,AIQ,33.16354,34.935385,35.913032,,,,No,-0.050718,No,-0.07656,,,,,,
2025-04-22,AIQ,34.041782,34.85028,35.829866,,,,No,-0.023199,No,-0.049905,,,,,,
2025-04-23,AIQ,35.019825,34.866427,35.771649,,,,Yes,0.0044,No,-0.021017,,,,,,
2025-04-24,AIQ,36.127605,34.98654,35.729733,,,,Yes,0.032614,Yes,0.011136,,,,,,
2025-04-25,AIQ,36.696461,35.149389,35.73439,,,,Yes,0.044014,Yes,0.026923,,,,,,
2025-04-28,AIQ,36.726398,35.299581,35.70445,,,,Yes,0.04042,Yes,0.028622,,,,,,
