Ticker,1W%,2W%,1M%,3M%,6M%,9M%,12M%
AIQ,0.16,1.4,3.83,2.88,31.0,26.63,42.87
AIRR,-0.69,-5.68,-10.25,-15.04,-1.47,10.27,18.27
AMLP,0.87,1.77,3.17,7.59,10.04,24.04,25.32
ARKG,-1.05,-4.67,16.25,41.1,67.64,52.9,89.32
AWAY,-4.89,-5.37,-4.0,10.09,12.31,-9.36,-13.4
BATT,-2.23,-2.78,3.09,-2.05,6.41,15.66,44.89
BETZ,-1.4,-1.43,3.22,2.92,5.82,-6.16,-18.33
BOTZ,0.56,-0.25,-2.68,-5.3,-0.34,1.73,8.64
CIBR,-4.03,-0.27,-1.87,9.19,43.69,28.09,31.44
COPX,-3.98,-4.15,5.31,12.81,13.78,37.99,85.68
CORN,0.6,5.58,13.97,17.64,8.37,12.69,13.78
CPER,0.71,-0.1,-1.99,4.91,12.12,20.95,42.27
DBA,-1.16,1.87,5.18,9.28,8.01,13.31,9.73
DIA,-0.18,0.35,-0.68,5.19,13.17,12.61,18.64
DRAM,6.91,3.48,16.04,6.99,,,
ETHE,0.71,1.59,28.48,55.44,23.51,-22.3,-43.21
GLD,-0.52,-3.92,4.39,2.66,-14.09,5.14,24.51
IAI,0.68,0.99,5.03,9.44,17.3,11.92,14.31
IBB,1.42,-0.77,9.82,25.83,26.58,23.29,51.38
IBIT,3.03,3.55,23.95,32.48,17.18,-14.24,-27.46
IEF,-0.29,-0.26,-0.4,-0.44,-2.4,-2.0,-0.42
IGV,-4.5,1.16,5.18,9.12,18.89,-1.96,-2.11
ITA,-3.1,-4.94,-9.75,-1.6,-6.72,12.05,14.22
IWM,0.09,-1.32,-0.75,5.35,18.47,19.47,26.41
KBE,1.29,0.87,-1.15,8.72,17.75,17.11,15.22
KBWD,0.08,0.36,2.23,5.2,3.77,-0.6,-0.65
KRE,1.31,0.55,-1.59,7.9,17.32,18.52,16.59
LITP,-2.7,-6.29,7.12,-16.3,-7.58,4.32,58.72
OIH,2.2,2.94,9.04,3.09,14.52,42.64,68.69
ONLN,-3.39,-2.14,-4.4,5.9,5.07,-4.06,-0.22
PAVE,-0.27,-2.18,-5.47,-2.51,7.13,14.65,19.3
PDBC,3.37,1.93,10.33,8.88,16.06,43.52,49.15
PEJ,-3.15,-4.66,-2.67,2.98,9.64,9.16,9.33
PPH,0.52,-2.07,3.24,8.62,9.31,15.53,31.04
QQQ,0.35,0.77,0.6,2.08,20.16,15.73,25.59
REZ,-1.47,-2.96,-2.83,3.3,5.95,10.05,13.14
RSP,-0.77,-1.2,0.19,5.78,11.43,15.76,18.28
SHY,0.05,-0.08,0.16,0.69,0.52,1.25,2.27
SKYY,-2.17,0.2,7.28,14.78,42.76,23.34,26.45
SLV,-0.33,-4.62,7.11,-2.84,-21.23,12.72,61.98
SLX,2.12,3.54,2.01,4.05,21.63,35.0,59.89
SMH,2.51,1.18,-0.78,-0.47,48.99,56.1,96.22
SOXX,2.21,-0.04,-2.38,-3.64,60.87,68.47,113.9
SPY,0.11,0.58,0.21,4.69,15.16,13.55,19.97
SRVR,0.04,-1.42,-0.82,-7.63,-2.25,10.91,5.27
TIP,0.03,-0.15,0.09,-0.41,-0.72,0.17,0.8
TLT,-0.43,0.58,0.01,-2.23,-4.89,-4.48,-1.44
UNG,2.23,5.71,9.66,-9.51,-17.18,-31.74,-19.39
USO,9.45,5.44,19.42,6.72,30.51,100.91,91.37
UUP,-0.35,0.65,-0.39,0.21,2.22,3.53,5.44
VIXY,-3.74,-6.64,-12.95,-30.07,-50.65,-44.13,-50.67
VNQ,-1.25,-2.52,-2.06,0.08,4.65,9.53,9.08
VOO,0.11,0.61,0.23,4.73,15.18,13.61,20.08
WEAT,-5.39,4.25,11.68,18.9,12.2,27.05,27.05
XBI,0.88,-1.16,6.03,27.44,32.23,35.04,76.06
XLB,-1.39,-2.05,0.52,3.96,6.04,19.44,16.94
XLC,-0.85,0.57,0.76,0.58,-4.07,-1.81,-0.56
XLE,2.2,0.66,10.14,11.88,14.8,42.65,48.31
XLF,0.0,1.08,0.5,11.48,15.89,9.82,9.14
XLI,-1.06,-2.76,-5.14,0.87,3.68,14.65,17.19
XLK,0.86,2.17,1.05,4.0,36.74,29.67,43.36
XLP,-1.02,-1.64,-0.62,2.07,-0.16,9.52,7.79
XLRE,-1.24,-2.55,-1.96,-0.86,4.02,9.81,8.82
XLU,0.82,0.72,-0.69,-2.24,-6.59,0.42,5.77
XLV,0.17,-1.82,4.26,12.55,13.24,11.97,26.93
XLY,-1.96,-2.64,-2.7,0.24,0.81,-3.26,-1.51
XOP,2.57,0.62,14.16,15.46,17.23,42.01,47.55
