Ticker,Price,EMA20,MA30,Pct_Above_EMA20,Pct_Above_MA30,EMA20_vs_MA30_Pct,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Above_EMA20,Above_MA30,EMA20_Above_MA30,Price_Cross_EMA20_Today,Price_Cross_MA30_Today,EMA20_Cross_MA30_Today,Return_1W,Return_1M,Acceleration_Score,Momentum_Score,Early_Rotation_Score,Early_Rotation_Rank,Early_Rotation_State,Rotation_Readiness_Score,Rotation_State
ETHE,19.85,16.721472,15.88592,18.709644701136384,24.953417869408902,5.259701672927974,10.224636755441097,5.046516678053492,True,True,True,False,False,False,28.81,26.46,100.0,81.92107643600181,99.85074626865672,1,EXTENDED,91.86448439620082,LEADER
IBIT,44.720001,38.875874,37.463,15.032786143920518,19.37111550062729,3.7713850999653076,7.212620308815598,3.1148513047952298,True,True,True,False,False,False,22.19,21.62,98.50746268656717,69.94911804613298,98.50746268656718,2,EXTENDED,86.02934192672998,EMERGING
ARKG,50.060001,44.591361,42.068,12.263900175641652,18.997815441665878,5.998290862413236,6.330445862691536,2.857423127169323,True,True,True,False,False,False,15.85,32.47,95.52238805970148,99.09995477159656,97.76119402985074,3,EXTENDED,98.2516960651289,LEADER
COPX,96.32,87.495199,83.358666,10.086040263763497,15.548874066674712,4.962331091046979,4.37105011435639,3.544278240548371,True,True,True,False,False,False,12.56,23.65,97.01492537313432,81.14993215739484,97.61194029850746,4,EXTENDED,90.62194708276796,LEADER
SLV,62.32,58.538327,55.785667,6.460165832890974,11.713282911899213,4.934349893136547,3.8502139075731856,2.61571758947019,True,True,True,False,False,False,8.5,17.74,94.02985074626866,51.9934418815016,95.82089552238807,5,EARLY ENTRY,69.10600407055631,EMERGING
GLD,428.070007,402.933795,389.274,6.238298279249577,9.966246654027744,3.5090437583809697,3.210459790929132,2.083056435636732,True,True,True,False,False,False,7.41,14.26,89.55223880597015,57.29081863410221,92.91044776119404,6,EARLY ENTRY,77.64654002713704,EMERGING
IBB,216.399994,202.659726,196.162333,6.779969691659393,10.316792571997002,3.312253122519704,3.799793621187253,1.8399079385657435,True,True,True,False,False,False,6.31,14.9,85.07462686567165,88.47806422433288,91.56716417910448,7,EARLY ENTRY,90.3375169606513,LEADER
LITP,11.99,11.402169,10.8728,5.155431392044796,10.275182105805314,4.868745861231716,2.741745662892958,0.7549299053230873,True,True,True,False,False,False,6.67,16.22,92.53731343283582,45.1232473993668,90.8955223880597,8,EARLY ENTRY,60.56665535956581,WATCH
CORN,19.59,18.397729,18.121667,6.48053354846132,8.102637577437012,1.5233808236295499,2.6291535352074957,1.5522845004616537,True,True,True,False,False,False,6.35,9.38,88.05970149253731,69.72297602894618,90.0,9,EARLY ENTRY,82.79324966078698,EMERGING
BATT,16.07,15.370761,14.9004,4.549150168947391,7.84945370594079,3.1567004912619767,1.947958574964126,1.4117842910829292,True,True,True,False,False,False,5.65,13.25,86.56716417910447,54.49231117141564,88.35820895522387,10,EARLY ENTRY,75.49168928086837,EMERGING
XBI,169.100006,159.724243,155.829667,5.869968655916558,8.515925918008938,2.4992519556625847,2.7908003493430034,0.7512888957670105,True,True,True,False,False,False,5.61,12.29,82.08955223880598,90.0995024875622,87.38805970149254,11,EARLY ENTRY,90.1716417910448,LEADER
PPH,117.870003,113.176045,111.628333,4.1474836834950235,5.5914747020364475,1.3864867085312538,2.0786134530424105,1.1789128213770095,True,True,True,False,False,False,4.13,5.89,80.59701492537313,70.48733604703754,84.47761194029852,12,EARLY ENTRY,80.89840569877883,LEADER
XLV,175.289993,168.981042,165.860666,3.7335259182506464,5.685089314666092,1.8813236888847396,2.1957867364523986,1.378726811527775,True,True,True,False,False,False,3.28,7.28,79.1044776119403,72.8301673450927,84.4776119402985,13,EARLY ENTRY,81.5049185888738,LEADER
WEAT,25.629999,24.783268,24.744333,3.41654296761833,3.579268028764404,0.15734915950249562,1.8102206201117355,1.3931952166035488,True,True,True,False,False,False,3.72,4.53,83.5820895522388,69.08638625056537,83.05970149253731,14,EARLY ENTRY,81.16350067842606,EMERGING
CPER,40.759998,39.724877,39.439666,2.6057248710927405,3.3477261191816376,0.7231577468227002,0.421866679542271,0.8755916931725283,True,True,True,False,False,False,4.03,5.13,73.13432835820896,67.53731343283583,77.91044776119404,15,EARLY ENTRY,77.33208955223881,EMERGING
IAI,196.779999,190.690288,189.641665,3.193508732862149,3.7641169201926283,0.5529496906705678,0.9320691202768128,0.34216037642349484,True,True,True,False,False,False,3.35,4.31,77.61194029850746,68.75621890547265,77.23880597014926,16,EARLY ENTRY,79.22388059701493,EMERGING
XLB,53.580002,52.461929,51.871667,2.1312083282336136,3.2933875057456596,1.1379275703632175,0.9125362461962938,0.8496215208314783,True,True,True,False,False,False,3.48,4.26,70.1492537313433,55.08819538670285,77.23880597014926,16,EARLY ENTRY,70.83446404341927,EMERGING
DRAM,56.240002,55.406889,53.971667,1.503627103120686,4.202825530662224,2.659213768587132,0.8881147164274683,-1.6431770237102294,True,True,True,True,False,False,2.07,7.27,91.04477611940298,,77.22388059701493,18,EARLY ENTRY,,WATCH
BETZ,19.892401,19.400471,19.283614,2.5356600878401414,3.157017144192986,0.6059911798690809,0.9768334579551619,0.2020344995173451,True,True,True,False,False,False,3.77,2.12,76.11940298507463,57.0171867933062,74.40298507462687,19,EARLY ENTRY,73.49355495251018,EMERGING
XLC,113.18,111.174983,110.526667,1.8034785757511829,2.400626990769572,0.5865697551523885,0.4193913663535387,0.12833899533450932,True,True,True,False,False,False,2.44,5.13,74.6268656716418,39.88240615106288,72.98507462686567,20,EARLY ENTRY,52.83514246947083,WATCH
