Peer_Group,Asset_Class,Sector,Peer_Group_Size,Pct_Leader_or_Emerging,Pct_Early_Entry_or_Building,Pct_Structural_Caution,Pct_New_Detection,Mean_Momentum_Score,Mean_Acceleration_Score,Mean_Trend_Score,Mean_Early_Rotation_Score,Peer_Group_Read
Agriculture Commodities,Commodities,Agriculture,3,0.6666666666666666,0.6666666666666666,0.0,0.0,70.85858585858585,65.67164179104478,95.0,76.35074626865672,▲ BROAD GROUP STRENGTH
Broad Commodities,Commodities,Broad Commodities,1,1.0,1.0,0.0,0.0,86.59995477159656,97.01492537313432,100.0,96.26865671641792,SINGLE-ASSET GROUP
Energy Commodities,Commodities,Energy,2,0.5,0.0,0.5,0.0,60.62924016282224,88.05970149253731,57.5,77.87686567164178,▼ GROUP UNDER STRUCTURAL PRESSURE
Industrial Metals,Commodities,Metals,1,0.0,0.0,0.0,0.0,52.859565807327,49.25373134328358,50.0,43.31343283582089,SINGLE-ASSET GROUP
Precious Metals,Commodities,Precious Metals,2,0.0,0.0,1.0,0.0,32.91666666666667,32.83582089552239,20.0,39.149253731343286,▼ GROUP UNDER STRUCTURAL PRESSURE
Currencies,Currencies,U.S. Dollar,1,0.0,0.0,0.0,0.0,52.8392130257802,86.56716417910447,50.0,48.582089552238806,SINGLE-ASSET GROUP
Crypto Assets,Digital Assets,Crypto,2,0.5,1.0,0.0,0.0,69.72693351424695,61.940298507462686,100.0,83.50746268656717,▲ BROAD GROUP STRENGTH
Large Cap Growth,Equities,Broad Market,1,0.0,1.0,0.0,1.0,62.8561736770692,65.67164179104478,85.0,69.55970149253731,SINGLE-ASSET GROUP
Large Cap U.S.,Equities,Broad Market,4,0.0,0.0,0.0,0.0,58.9196065128901,50.74626865671642,60.0,38.01865671641791,● MIXED GROUP
Small Cap U.S.,Equities,Broad Market,1,0.0,0.0,0.0,0.0,44.84056987788331,25.37313432835821,30.0,20.78358208955224,SINGLE-ASSET GROUP
Communication Services,Equities,Communication Services,1,1.0,1.0,0.0,1.0,52.93758480325645,89.55223880597015,70.0,87.91044776119404,SINGLE-ASSET GROUP
Consumer Discretionary,Equities,Consumer Discretionary,1,0.0,0.0,1.0,0.0,27.894617819990955,40.298507462686565,0.0,24.567164179104477,SINGLE-ASSET GROUP
E-Commerce,Equities,Consumer Discretionary,1,0.0,0.0,1.0,0.0,35.00113071008593,26.86567164179105,0.0,17.01492537313433,SINGLE-ASSET GROUP
Gaming & Betting,Equities,Consumer Discretionary,1,1.0,1.0,0.0,1.0,44.54319312528269,79.1044776119403,100.0,81.82089552238806,SINGLE-ASSET GROUP
Travel & Leisure,Equities,Consumer Discretionary,2,0.0,0.0,0.5,0.0,27.80698778833107,10.447761194029852,15.0,7.164179104477611,▼ GROUP UNDER STRUCTURAL PRESSURE
Consumer Staples,Equities,Consumer Staples,1,0.0,0.0,0.0,0.0,37.39371325192221,59.70149253731343,30.0,27.761194029850746,SINGLE-ASSET GROUP
Energy,Equities,Energy,1,1.0,1.0,0.0,0.0,83.1524197195839,92.53731343283582,100.0,91.64179104477611,SINGLE-ASSET GROUP
Energy Infrastructure,Equities,Energy,1,1.0,1.0,0.0,0.0,76.83627317955676,88.05970149253731,100.0,88.13432835820895,SINGLE-ASSET GROUP
Oil & Gas E&P,Equities,Energy,1,1.0,1.0,0.0,0.0,90.20465852555404,94.02985074626866,100.0,94.70149253731344,SINGLE-ASSET GROUP
Oil & Gas Services,Equities,Energy,1,1.0,1.0,0.0,0.0,64.41203075531433,77.61194029850746,100.0,81.9776119402985,SINGLE-ASSET GROUP
Banking,Equities,Financials,2,0.0,0.0,0.0,0.0,57.18962008141113,53.73134328358209,50.0,29.62686567164179,● MIXED GROUP
Capital Markets,Equities,Financials,1,0.0,0.0,0.0,0.0,60.98710990502035,23.88059701492537,70.0,38.85074626865672,SINGLE-ASSET GROUP
Financial Income,Equities,Financials,1,0.0,0.0,1.0,0.0,27.132519222071465,22.388059701492537,0.0,20.08955223880597,SINGLE-ASSET GROUP
Financials,Equities,Financials,1,0.0,0.0,0.0,0.0,61.95160560832204,38.80597014925373,70.0,34.26865671641791,SINGLE-ASSET GROUP
Biotech & Genomics,Equities,Health Care,1,0.0,0.0,0.0,0.0,77.44798733604704,1.4925373134328357,85.0,47.9179104477612,SINGLE-ASSET GROUP
Biotechnology,Equities,Health Care,2,0.0,0.0,0.0,0.0,66.71302578018995,8.208955223880597,60.0,31.388059701492537,● MIXED GROUP
Health Care,Equities,Health Care,1,0.0,0.0,0.0,0.0,51.4812302125735,20.8955223880597,50.0,27.95522388059701,SINGLE-ASSET GROUP
Pharmaceuticals,Equities,Health Care,1,0.0,0.0,0.0,0.0,44.514925373134325,14.925373134328357,50.0,13.656716417910449,SINGLE-ASSET GROUP
Aerospace & Defense,Equities,Industrials,1,0.0,0.0,1.0,0.0,15.26797829036635,19.402985074626866,0.0,8.731343283582088,SINGLE-ASSET GROUP
Industrial Reshoring,Equities,Industrials,1,0.0,0.0,1.0,0.0,21.941429217548627,46.26865671641791,0.0,22.83582089552239,SINGLE-ASSET GROUP
