Ticker,Decision_Support_State,Decision_Priority,Detection_State,Signal_Window,Price_EMA20_Last_Cross,Price_EMA20_Last_Cross_Date,Days_Since_Price_EMA20_Cross,ML_Signal_Date,ML_Quality,ML_Percentile_Display,ML_Daily_PctRank,ML_Early_Leader_Probability,Early_Rotation_State,Early_Rotation_Score,Early_Rotation_Rank,Rotation_State,Rotation_Readiness_Score,Rotation_Readiness_Rank,Confirmation_State,Momentum_Score,Momentum_Rank,Acceleration_Score,Acceleration_Rank,Trend_Score,Price,EMA20,MA30,MA50,MA100,MA200,Above_EMA20,Above_MA30,Above_MA50,Above_MA100,Above_MA200,Distance_To_EMA20,Distance_To_MA50,Distance_To_MA200,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Structure_State,Structure_History_Status,Initial_Risk_Reference,Long_Term_Structural_Reference,Earned_Protection_Status,Earned_Protection_Framework,Return_1W,Return_1M,Return_3M,Research_Note,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,EMA20_Zone,EMA20_Above_MA30
IGV,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,2026-09-04,● MODERATE,77th percentile,0.7692307692307693,0.524435329332719,EARLY ENTRY,85.11940298507463,9,LEADER,84.66468792401629,6.0,▲ CONFIRMED LEADER,73.88172772501133,10.0,88.05970149253731,9,100.0,104.96,103.819,103.993,99.532,95.561,93.653,True,True,True,True,True,0.010990281162407634,0.05453522485230877,0.1207329183261614,0.237,1.305,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,3.07,2.91,14.87,Current walk-forward RF candidate ranking available | Confirmed leadership already present,0.011,0.009,0.055,0.098,0.121,NEAR EMA20,False
XLC,▲ EARLY WATCH,4,▲ DAY 3 CONFIRMATION,DAY 3 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-11,3,2026-09-04,— LOW,31st percentile,0.3076923076923077,0.3034253986049415,EARLY ENTRY,90.59701492537312,4,EMERGING,72.90841248303934,15.0,▲ EMERGING CONFIRMATION,59.44821347806423,25.0,95.52238805970148,4,70.0,113.0,112.291,111.937,111.124,112.042,113.652,True,True,True,True,False,0.006313952142201984,0.01688204168316476,-0.005736810614859422,0.599,0.554,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.96,1.97,0.87,Current walk-forward RF candidate ranking available | Below wider MA200 structural reference,0.006,0.009,0.017,0.009,-0.006,NEAR EMA20,True
CIBR,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,87.88059701492539,7,LEADER,94.4981343283582,2.0,▲ CONFIRMED LEADER,91.75373134328358,3.0,94.02985074626866,5,100.0,100.3,96.643,97.016,94.818,88.235,78.135,True,True,True,True,True,0.03784029883178297,0.057816026492859995,0.28367568951174227,1.162,0.951,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,6.16,2.57,17.99,Confirmed leadership already present,0.038,0.034,0.058,0.137,0.284,NEAR EMA20,False
ARKG,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,88.43283582089552,6,LEADER,86.83276797829038,4.0,▲ CONFIRMED LEADER,97.60515603799186,1.0,59.70149253731343,28,100.0,47.85,46.51,46.176,43.577,38.641,34.024,True,True,True,True,True,0.02881100838529349,0.09805631411065474,0.4063602163178932,0.408,2.795,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,3.33,8.65,37.18,Confirmed leadership already present,0.029,0.036,0.098,0.238,0.406,NEAR EMA20,True
SKYY,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,80.71641791044775,15,LEADER,85.31292401628222,5.0,▲ CONFIRMED LEADER,86.26752600633198,5.0,71.64179104477611,20,100.0,161.89,159.937,160.808,151.956,142.099,130.749,True,True,True,True,True,0.01221105810412837,0.06537418726473443,0.2381739057277683,0.311,1.667,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,2.37,-0.22,19.63,Confirmed leadership already present,0.012,0.007,0.065,0.139,0.238,NEAR EMA20,False
UUP,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,83.26865671641791,10,EMERGING,81.85803934871099,8.0,▲ EMERGING CONFIRMATION,65.65468113975577,16.0,91.04477611940298,7,100.0,28.4,28.125,28.087,28.205,28.037,27.647,True,True,True,True,True,0.009777777777777663,0.006913667789399058,0.027236228162187626,0.164,-0.02,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.5,1.07,1.68,No exceptional current research condition,0.01,0.011,0.007,0.013,0.027,NEAR EMA20,True
WEAT,▲ EARLY WATCH,4,▲ DAY 1 CONFIRMATION,DAY 1 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-15,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,BUILDING,81.34328358208955,13,LEADER,73.20301899592944,14.0,▲ CONFIRMED LEADER,78.26209859791949,7.0,43.28358208955223,39,100.0,26.55,26.334,25.825,25.282,24.337,22.897,True,True,True,True,True,0.008202323991797655,0.05015425994778888,0.15954055116390808,0.155,1.434,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.03,6.2,16.7,Confirmed leadership already present,0.008,0.028,0.05,0.091,0.16,NEAR EMA20,True
UNG,▲ EARLY WATCH,4,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,CROSS ABOVE,2026-09-14,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,90.59701492537312,4,WATCH,57.939111261872455,21.0,▲ EARLY CONFIRMATION,36.29918588873812,50.0,97.01492537313432,3,50.0,10.36,10.328,10.199,10.272,10.784,11.589,True,True,True,False,False,0.0030983733539891034,0.008566978193146335,-0.1060488394166883,0.024,0.562,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,2.68,5.39,-11.9,Below wider MA200 structural reference,0.003,0.016,0.009,-0.039,-0.106,NEAR EMA20,True
USO,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-27,13,,— NO CURRENT ML SIGNAL,No current ML signal,,,EXTENDED,99.47761194029852,1,LEADER,98.81241519674356,1.0,▲ CONFIRMED LEADER,97.36092265943012,2.0,100.0,1,100.0,156.17,144.248,135.817,130.767,130.373,110.448,True,True,True,True,True,0.08264932616050125,0.1942615491676034,0.41396856439229324,6.418,4.197,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,4.13,19.86,35.25,Confirmed leadership already present,0.083,0.15,0.194,0.198,0.414,NEAR EMA20,True
PDBC,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-06,28,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,95.22388059701493,2,LEADER,93.08666892808684,3.0,▲ CONFIRMED LEADER,89.61216644052465,4.0,92.53731343283582,6,100.0,19.8,19.111,18.59,18.051,17.785,16.405,True,True,True,True,True,0.036052535189158075,0.09689213893967108,0.20694910088387686,2.756,2.338,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.02,8.73,18.78,Confirmed leadership already present,0.036,0.065,0.097,0.113,0.207,NEAR EMA20,True
