Ticker,Price,Return_1W,Return_2W,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M,Momentum_Score,Momentum_Rank,Acceleration_Raw,Acceleration_Score,Acceleration_Rank,Trend_Score,Trend_Structure,Rotation_Readiness_Score,Rotation_Readiness_Rank,Rotation_State,EMA20,MA30,MA50,MA100,MA200,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,AboveEMA20,Above30,Above50,Above100,Above200,Major_MAs_Above
WEAT,27.43,7.65,9.72,15.2,17.67,24.74,30.87,29.39,89.60425146992311,1,4.365833333333334,97.01492537313433,3,100.0,Strong Uptrend,94.4263907734057,1,LEADER,25.658142,25.063,24.3188,23.8714,22.58745,0.069056,0.094442,0.127934,0.149074,0.214391,Yes,True,True,True,True,4
ETHE,19.879999,-0.15,29.43,32.29,23.17,20.67,-19.0,-45.01,77.41745816372683,9,7.851833333333334,100.0,1,100.0,Strong Uptrend,89.83785617367707,2,LEADER,17.761126,16.511213,15.497132,16.26543,18.632339,0.119298,0.20403,0.282818,0.222224,0.066962,Yes,True,True,True,True,4
CORN,19.945,3.77,8.04,13.0,11.42,11.86,11.18,15.56,77.38014473089099,10,3.2053333333333334,94.02985074626866,5,100.0,Strong Uptrend,88.03002035278155,3,LEADER,18.903302,18.409167,17.9305,17.98075,17.913375,0.055107,0.083428,0.11235,0.109242,0.113414,Yes,True,True,True,True,4
IBIT,44.4883,-0.34,22.15,24.83,9.87,13.51,-12.82,-30.03,70.82654907281774,14,6.062166666666666,98.50746268656717,2,100.0,Strong Uptrend,86.42418588873814,4,LEADER,40.737247,38.51961,37.255166,39.486283,42.580691,0.092079,0.154952,0.194151,0.126677,0.0448,Yes,True,True,True,True,4
IGV,109.745003,7.12,7.6,16.03,1.92,32.62,6.6,0.62,71.92503392130257,13,3.718166666666667,95.52238805970148,4,100.0,Strong Uptrend,86.0229816824966,5,LEADER,103.165013,99.745833,96.4195,93.174599,93.663523,0.063781,0.100246,0.138203,0.177843,0.171694,Yes,True,True,True,True,4
CIBR,99.169998,6.37,1.41,7.99,5.42,56.83,36.65,34.88,81.45183175033922,4,0.6783333333333337,80.59701492537313,14,100.0,Strong Uptrend,85.8324287652646,6,LEADER,96.184569,94.945333,92.950077,84.811472,76.857966,0.031039,0.044496,0.066917,0.169299,0.290302,Yes,True,True,True,True,4
SKYY,164.824997,3.68,1.59,15.26,6.22,49.27,28.95,27.78,83.21121664405247,3,0.5185,76.11940298507463,17,100.0,Strong Uptrend,85.280868385346,7,LEADER,158.593912,152.865833,145.8235,137.00905,128.992025,0.03929,0.078233,0.130305,0.203023,0.277792,Yes,True,True,True,True,4
DBA,29.219999,3.25,3.84,6.22,7.27,12.43,15.86,10.01,72.18453188602442,12,1.7105,86.56716417910447,10,100.0,Strong Uptrend,83.45318860244232,8,LEADER,28.302931,28.037667,27.7282,27.5517,26.736917,0.032402,0.042169,0.053801,0.060552,0.092871,Yes,True,True,True,True,4
COPX,92.589996,-2.05,6.01,17.41,3.16,-0.74,52.72,94.28,64.77951153324288,16,1.7299999999999998,88.05970149253731,9,100.0,Strong Uptrend,80.5686906377205,9,EMERGING,89.842692,86.020332,82.139398,83.172225,79.722372,0.030579,0.076373,0.12723,0.113232,0.161405,Yes,True,True,True,True,4
XLE,63.41,0.48,1.33,6.48,11.46,12.7,45.23,45.46,77.56784260515605,8,0.18616666666666665,67.16417910447761,23,100.0,Strong Uptrend,80.05478290366351,10,LEADER,61.666223,60.613,58.3446,57.688151,53.965888,0.028278,0.046145,0.086819,0.099186,0.175002,Yes,True,True,True,True,4
